#{"t_start": 1765838208.0316541, "env_id": "None"}
r,l,t
-26.715197,100,45.646379
-38.627204,100,45.667644
-30.476503,100,45.690769
-37.511973,100,45.704215
-29.449818,100,45.728819
-25.768788,100,45.755129
-4.139693,10,45.757127
-22.64754,100,45.787148
-30.963881,100,45.804178
-25.600222,100,45.820984
-40.05405,100,45.846202
-28.535814,100,45.865074
-29.559673,100,45.882417
-1.156791,2,45.88346
-39.710485,100,45.903883
-35.908931,100,45.920402
-27.639725,100,46.587152
-26.265222,100,46.655888
-31.964474,100,46.67918
-32.147927,100,46.70462
-27.713581,100,46.721107
-0.024077,2,46.721107
-29.011451,100,46.746101
-29.103115,100,46.762668
-27.132897,100,46.787562
-0.46123,2,46.787562
-0.16108,2,46.787562
-27.555,100,46.812159
-23.851673,100,46.828832
-28.54471,100,46.847914
-24.234544,100,46.871021
-28.343882,100,46.887309
-22.296288,100,46.904609
-31.708675,100,46.933197
-0.003498,2,46.934241
-28.062207,100,46.957393
-30.774732,100,46.985327
-25.396469,100,47.004508
-25.67325,100,47.029535
-30.564008,100,47.046103
-26.823203,100,47.778846
-26.849805,100,47.797817
-29.241881,100,47.824876
-27.595468,100,47.843462
-33.98548,100,47.861058
-22.150601,100,47.881301
-37.162105,100,47.904531
-23.564697,100,47.92895
-23.187579,100,47.946218
-22.804704,100,47.970474
-25.871203,100,47.987188
-23.652467,100,48.007643
-27.541955,100,48.029433
-31.327777,100,48.047334
-29.171931,100,48.064456
-29.114,100,48.079262
-28.970002,100,48.097784
-24.589987,100,48.119443
-27.607743,100,48.143255
-22.755448,100,48.162893
-19.78381,100,48.179371
-24.532843,100,48.868475
-1.704181,9,48.870473
-23.293551,100,48.892287
-24.183712,100,48.920511
-28.079171,100,48.941624
-28.883285,100,48.962502
-25.863103,100,48.987681
-28.054321,100,49.013405
-28.921374,100,49.029504
-24.000629,100,49.053916
-21.873035,100,49.07094
-24.827072,100,49.095614
-0.268382,3,49.096749
-25.991679,100,49.117621
-28.140747,100,49.140372
-29.222084,100,49.159059
-24.154428,100,49.181489
-34.373734,100,49.216885
-28.408341,100,49.229355
-24.761377,100,49.257134
-32.416727,100,49.278933
-22.119379,100,49.302835
-1.497384,10,49.304479
-24.347562,100,50.070934
-24.867965,100,50.087621
-25.329219,100,50.112223
-24.453545,100,50.129317
-19.468201,100,50.146049
-21.654783,100,50.179513
-26.704479,100,50.200741
-21.85319,100,50.219689
-20.63346,100,50.236784
-26.096883,100,50.24624
-23.035407,100,50.270636
-23.403931,100,50.283763
-30.70534,100,50.312288
-25.205988,100,50.329361
-23.59639,100,50.353987
-28.864724,100,50.370602
-26.755026,100,50.38767
-24.796861,100,50.414426
-22.465701,100,50.435479
-20.805561,100,50.457145
-19.16927,100,51.212324
-22.191757,100,51.229329
-25.842361,100,51.246006
-33.446109,100,51.270641
-21.944054,100,51.290855
-26.189438,100,51.312725
-24.425225,100,51.334219
-27.460864,100,51.354003
-31.985911,100,51.371171
-23.912199,100,51.387758
-28.23831,100,51.404874
-27.119679,100,51.427996
-22.955845,100,51.45074
-0.134414,3,51.452748
-22.844241,100,51.470649
-24.899431,100,51.495753
-26.350043,100,51.513566
-2.7e-05,1,51.514564
-22.274021,100,51.529424
-10.387381,46,51.543734
-21.107821,100,51.570662
-24.152073,100,51.587799
-20.41822,100,51.666801
-11.831636,55,51.681687
-1.669213,5,51.683697
-20.00652,100,52.490631
-23.544568,100,52.51309
-20.156768,100,52.529473
-18.27777,100,52.546528
-27.99937,100,52.563219
-21.846693,100,52.587882
-21.313447,100,52.612553
-25.82921,100,52.633714
-25.207304,100,52.659906
-25.267827,100,52.682699
-20.710639,100,52.706211
-26.732577,100,52.723368
-21.690802,100,52.740615
-26.184139,100,52.757663
-22.436551,100,52.770675
-18.529493,100,52.78782
-20.563258,100,52.804785
-21.517611,100,52.829129
-8.084714,39,52.836037
-19.947517,100,52.858501
-24.038759,100,52.879509
-19.510776,100,53.612754
-1.719649,7,53.612754
-21.824862,100,53.641733
-22.897935,100,53.660326
-15.847019,100,53.679079
-19.538506,100,53.700764
-22.032214,100,53.719702
-20.874926,100,53.74169
-21.413711,100,53.76286
-23.100376,100,53.787758
-1.552805,7,53.789832
-4.087992,18,53.795748
-23.551206,100,53.820723
-22.78647,100,53.841524
-25.267195,100,53.861254
-23.883377,100,53.881727
-11.025289,65,53.895689
-20.95513,100,53.924123
-19.676859,100,53.946062
-25.310132,100,53.965828
-20.597832,100,53.987867
-21.188818,100,54.015862
-18.657386,100,54.038891
-25.347488,100,54.779058
-18.554702,100,54.800084
-18.965342,100,54.812919
-17.841626,100,54.829865
-20.082851,100,54.854127
-22.570653,100,54.871105
-20.031005,100,54.887572
-13.539591,100,54.912616
